None,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value
9,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2011-01-01,9.8
10,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2010-01-01,10.6
11,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2009-01-01,8.5
12,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2008-01-01,5.4
13,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2007-01-01,5.0
14,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2006-01-01,5.1
15,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2005-01-01,5.7
16,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2004-01-01,6.3
17,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2003-01-01,6.5
18,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2002-01-01,6.3
19,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2001-01-01,4.7
20,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2000-01-01,4.5
21,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1999-01-01,4.8
22,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1998-01-01,5.2
23,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1997-01-01,5.9
24,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1996-01-01,6.3
25,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1995-01-01,6.2
26,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1994-01-01,7.3
27,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1993-01-01,8.0
28,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1992-01-01,8.1
29,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1991-01-01,7.1
30,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1990-01-01,6.0
31,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1989-01-01,6.0
32,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1988-01-01,6.3
33,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1987-01-01,7.3
34,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1986-01-01,7.3
35,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1985-01-01,8.0
36,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1984-01-01,8.8
37,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1983-01-01,11.4
38,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1982-01-01,9.4
39,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1981-01-01,8.2
40,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1980-01-01,6.9
41,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1979-01-01,6.4
42,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1978-01-01,7.1
43,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1977-01-01,8.3
44,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1976-01-01,8.8
45,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1975-01-01,9.0
46,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1974-01-01,5.7
47,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1973-01-01,5.5
48,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1972-01-01,6.5
49,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1971-01-01,6.6
50,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1970-01-01,4.2
51,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1969-01-01,3.7
52,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1968-01-01,4.0
53,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1967-01-01,4.2
54,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1966-01-01,4.4
55,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1965-01-01,5.5
56,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1964-01-01,6.4
57,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1963-01-01,6.6
58,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1962-01-01,6.7
59,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1961-01-01,7.7
60,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1960-01-01,6.1
61,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1959-01-01,7.0
62,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1958-01-01,6.8
63,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1957-01-01,4.9
64,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1956-01-01,4.7
65,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1955-01-01,5.8
0,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2020-01-01,4.0
1,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2019-01-01,4.4
2,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2018-01-01,4.5
3,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2017-01-01,5.1
4,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2016-01-01,5.3
5,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2015-01-01,6.1
6,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2014-01-01,7.0
7,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2013-01-01,8.5
8,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2012-01-01,8.8
9,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2011-01-01,9.8
10,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2010-01-01,10.6
11,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2009-01-01,8.5
12,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2008-01-01,5.4
13,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2007-01-01,5.0
14,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2006-01-01,5.1
15,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2005-01-01,5.7
16,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2004-01-01,6.3
17,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2003-01-01,6.5
18,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2002-01-01,6.3
19,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2001-01-01,4.7
20,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2000-01-01,4.5
21,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1999-01-01,4.8
22,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1998-01-01,5.2
23,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1997-01-01,5.9
24,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1996-01-01,6.3
25,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1995-01-01,6.2
26,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1994-01-01,7.3
27,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1993-01-01,8.0
28,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1992-01-01,8.1
29,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1991-01-01,7.1
30,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1990-01-01,6.0
31,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1989-01-01,6.0
32,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1988-01-01,6.3
33,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1987-01-01,7.3
34,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1986-01-01,7.3
35,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1985-01-01,8.0
36,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1984-01-01,8.8
37,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1983-01-01,11.4
38,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1982-01-01,9.4
39,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1981-01-01,8.2
40,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1980-01-01,6.9
41,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1979-01-01,6.4
42,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1978-01-01,7.1
43,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1977-01-01,8.3
44,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1976-01-01,8.8
45,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1975-01-01,9.0
46,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1974-01-01,5.7
47,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1973-01-01,5.5
48,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1972-01-01,6.5
49,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1971-01-01,6.6
50,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1970-01-01,4.2
51,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1969-01-01,3.7
52,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1968-01-01,4.0
53,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1967-01-01,4.2
54,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1966-01-01,4.4
55,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1965-01-01,5.5
56,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1964-01-01,6.4
57,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1963-01-01,6.6
58,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1962-01-01,6.7
59,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1961-01-01,7.7
60,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1960-01-01,6.1
61,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1959-01-01,7.0
62,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1958-01-01,6.8
63,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1957-01-01,4.9
64,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1956-01-01,4.7
65,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1955-01-01,5.8
66,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1954-01-01,5.7
67,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1953-01-01,3.4
68,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1952-01-01,3.7
69,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1951-01-01,4.4
70,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1950-01-01,7.6
0,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2020-01-01,4.0
1,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2019-01-01,4.4
2,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2018-01-01,4.5
3,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2017-01-01,5.1
4,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2016-01-01,5.3
5,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2015-01-01,6.1
6,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2014-01-01,7.0
7,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2013-01-01,8.5
8,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2012-01-01,8.8
9,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2011-01-01,9.8
10,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2010-01-01,10.6
11,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2009-01-01,8.5
12,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2008-01-01,5.4
13,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2007-01-01,5.0
14,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2006-01-01,5.1
15,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2005-01-01,5.7
16,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2004-01-01,6.3
17,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2003-01-01,6.5
18,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2002-01-01,6.3
19,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2001-01-01,4.7
20,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2000-01-01,4.5
21,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1999-01-01,4.8
22,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1998-01-01,5.2
23,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1997-01-01,5.9
24,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1996-01-01,6.3
25,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1995-01-01,6.2
26,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1994-01-01,7.3
27,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1993-01-01,8.0
28,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1992-01-01,8.1
29,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1991-01-01,7.1
30,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1990-01-01,6.0
31,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1989-01-01,6.0
32,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1988-01-01,6.3
33,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1987-01-01,7.3
34,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1986-01-01,7.3
35,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1985-01-01,8.0
36,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1984-01-01,8.8
37,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1983-01-01,11.4
38,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1982-01-01,9.4
39,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1981-01-01,8.2
40,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1980-01-01,6.9
41,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1979-01-01,6.4
42,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1978-01-01,7.1
43,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1977-01-01,8.3
44,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1976-01-01,8.8
45,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1975-01-01,9.0
46,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1974-01-01,5.7
47,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1973-01-01,5.5
0,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2020-01-01,4.0
1,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2019-01-01,4.4
2,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2018-01-01,4.5
3,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2017-01-01,5.1
4,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2016-01-01,5.3
5,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2015-01-01,6.1
6,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2014-01-01,7.0
0,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2020-01-01,4.0
1,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2019-01-01,4.4
2,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2018-01-01,4.5
3,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2017-01-01,5.1
4,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2016-01-01,5.3
5,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2015-01-01,6.1
6,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2014-01-01,7.0
7,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2013-01-01,8.5
8,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2012-01-01,8.8
9,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2011-01-01,9.8
10,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2010-01-01,10.6
11,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2009-01-01,8.5
12,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2008-01-01,5.4
13,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2007-01-01,5.0
14,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2006-01-01,5.1
15,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2005-01-01,5.7
16,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2004-01-01,6.3
17,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2003-01-01,6.5
18,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2002-01-01,6.3
19,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2001-01-01,4.7
20,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,2000-01-01,4.5
21,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1999-01-01,4.8
22,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1998-01-01,5.2
23,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1997-01-01,5.9
24,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1996-01-01,6.3
25,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1995-01-01,6.2
26,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1994-01-01,7.3
27,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1993-01-01,8.0
28,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1992-01-01,8.1
29,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1991-01-01,7.1
30,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1990-01-01,6.0
31,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1989-01-01,6.0
32,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1988-01-01,6.3
33,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1987-01-01,7.3
34,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1986-01-01,7.3
35,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1985-01-01,8.0
36,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1984-01-01,8.8
37,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1983-01-01,11.4
38,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1982-01-01,9.4
39,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1981-01-01,8.2
40,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1980-01-01,6.9
41,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1979-01-01,6.4
42,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1978-01-01,7.1
43,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1977-01-01,8.3
44,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1976-01-01,8.8
45,43959,US,200,US.200.M.01,United States: Unemployment Rate [US: Unemployment Rate],%,M,1975-01-01,9.0
